id,state,year,age_group,gender,race,whether_mental_ill,armed,flee,body_camera_binary
3,WA,2015,45–59,male,A,yes,yes,no,0
4,OR,2015,45–59,male,W,no,yes,no,0
5,KS,2015,18–29,male,H,no,no,no,0
8,CA,2015,30–44,male,W,yes,no,no,0
9,CO,2015,30–44,male,H,no,yes,no,0
11,OK,2015,18–29,male,W,no,yes,no,0
13,AZ,2015,18–29,male,H,no,yes,yes,0
15,KS,2015,30–44,male,W,no,yes,no,0
16,IA,2015,30–44,female,W,no,no,no,1
17,PA,2015,45–59,male,B,no,no,no,0
19,CA,2015,18–29,male,W,no,yes,no,0
21,TX,2015,30–44,male,B,no,yes,no,0
22,OH,2015,30–44,male,B,yes,yes,no,0
25,IA,2015,30–44,male,W,no,yes,yes,0
27,LA,2015,30–44,male,B,no,yes,yes,1
29,MT,2015,18–29,male,W,no,Unknown,no,0
32,UT,2015,30–44,male,W,no,yes,no,1
36,AR,2015,30–44,male,B,no,no,no,0
37,UT,2015,45–59,male,W,no,yes,no,1
38,AR,2015,60+,male,W,no,yes,no,0
325,TX,2015,30–44,male,H,no,yes,no,0
42,IL,2015,30–44,male,W,yes,yes,no,0
43,CA,2015,18–29,male,H,no,yes,no,0
45,NV,2015,18–29,male,H,no,yes,yes,0
46,NM,2015,30–44,male,W,no,yes,yes,1
48,TX,2015,30–44,male,W,yes,yes,no,0
49,MN,2015,18–29,male,B,no,Unknown,no,0
50,MO,2015,18–29,male,W,no,Unknown,no,0
51,VA,2015,30–44,male,B,yes,yes,no,0
52,NJ,2015,60+,male,W,no,yes,no,0
54,TX,2015,60+,male,W,no,yes,no,0
55,UT,2015,30–44,male,W,no,yes,no,1
56,IN,2015,18–29,male,B,no,yes,yes,0
57,CO,2015,30–44,male,B,no,yes,no,0
60,MN,2015,18–29,male,W,yes,yes,no,0
63,CA,2015,30–44,male,H,yes,yes,no,0
64,LA,2015,30–44,male,W,no,yes,no,0
67,TX,2015,30–44,male,W,no,yes,yes,0
68,CA,2015,45–59,male,O,no,yes,no,0
74,OK,2015,18–29,male,B,no,yes,yes,1
75,CA,2015,18–29,male,H,no,yes,no,0
78,TX,2015,18–29,male,H,no,yes,no,0
80,AZ,2015,30–44,male,W,yes,yes,no,0
83,KY,2015,60+,male,W,yes,yes,no,0
84,MA,2015,45–59,male,W,no,yes,no,0
85,AZ,2015,30–44,male,B,no,Unknown,yes,0
86,CA,2015,30–44,male,W,no,yes,no,0
88,TX,2015,30–44,male,H,no,yes,yes,0
90,MO,2015,18–29,male,B,no,yes,no,0
98,NH,2015,45–59,male,W,yes,yes,no,0
99,TX,2015,18–29,male,B,no,no,yes,0
100,TX,2015,Under 18,female,W,yes,yes,no,0
101,FL,2015,18–29,male,B,no,Unknown,no,0
102,TX,2015,45–59,male,H,no,yes,no,0
336,TX,2015,60+,male,W,yes,yes,no,0
105,ID,2015,45–59,male,W,no,yes,no,0
107,MD,2015,18–29,male,B,yes,yes,no,0
341,TX,2015,30–44,male,W,no,yes,no,0
108,CO,2015,18–29,male,H,no,yes,yes,0
110,NJ,2015,45–59,male,Unknown,no,yes,no,0
20,CO,2015,Under 18,female,H,no,yes,no,0
324,MN,2015,60+,male,W,yes,yes,no,0
352,TX,2015,18–29,male,H,no,no,yes,0
353,CA,2015,30–44,male,H,yes,yes,no,0
111,NE,2015,30–44,female,W,yes,yes,no,0
348,AZ,2015,18–29,male,N,no,Unknown,no,0
349,AZ,2015,18–29,male,W,no,yes,no,0
350,OH,2015,30–44,male,B,no,yes,no,0
345,TX,2015,45–59,male,W,no,yes,no,0
346,CA,2015,30–44,male,A,yes,yes,no,0
347,TX,2015,18–29,male,W,no,yes,no,0
112,MI,2015,30–44,male,W,yes,yes,no,0
342,OK,2015,30–44,male,W,no,no,yes,0
113,MT,2015,45–59,male,W,no,yes,yes,0
338,TX,2015,30–44,male,H,no,yes,no,0
339,MD,2015,45–59,male,B,yes,yes,no,0
114,PA,2015,45–59,male,W,no,no,yes,0
115,CA,2015,30–44,male,W,yes,yes,no,0
528,MI,2015,Under 18,male,W,no,yes,no,0
117,MO,2015,18–29,male,B,no,yes,yes,0
118,CA,2015,30–44,female,B,no,yes,yes,0
119,CA,2015,18–29,male,B,yes,yes,no,0
120,GA,2015,45–59,male,W,yes,yes,no,0
116,FL,2015,18–29,male,B,no,no,no,0
123,FL,2015,30–44,male,H,no,yes,no,0
124,AZ,2015,18–29,male,H,no,yes,yes,0
125,AZ,2015,18–29,male,H,no,no,no,0
126,TX,2015,45–59,male,B,no,yes,yes,0
127,TN,2015,30–44,male,B,no,yes,no,0
128,CA,2015,45–59,male,W,no,no,yes,0
129,OK,2015,18–29,male,B,no,yes,no,0
532,CA,2015,18–29,male,W,no,no,no,0
554,NC,2015,60+,male,B,no,yes,no,0
131,AK,2015,30–44,male,W,no,yes,yes,0
132,TX,2015,18–29,male,W,no,yes,no,0
133,NY,2015,45–59,male,W,yes,yes,no,0
134,FL,2015,45–59,male,W,no,yes,no,0
135,TX,2015,30–44,male,W,no,yes,no,0
136,ME,2015,60+,male,W,yes,yes,no,0
137,TX,2015,45–59,male,B,no,yes,no,0
138,WA,2015,30–44,male,H,yes,no,yes,0
139,TN,2015,45–59,male,B,no,yes,no,0
140,CO,2015,45–59,male,W,yes,yes,yes,0
141,CA,2015,18–29,male,B,yes,yes,no,0
142,AL,2015,45–59,male,W,yes,no,yes,1
145,CA,2015,18–29,male,W,no,Unknown,yes,0
146,KS,2015,18–29,male,H,no,yes,yes,0
147,PA,2015,30–44,male,H,no,no,no,0
148,TN,2015,18–29,male,W,no,yes,no,0
154,AZ,2015,30–44,male,H,yes,yes,no,0
149,MD,2015,Under 18,male,W,yes,yes,yes,0
155,TX,2015,45–59,male,W,no,yes,no,0
150,FL,2015,18–29,male,B,yes,no,no,0
151,MS,2015,30–44,male,W,no,yes,yes,0
153,OR,2015,30–44,male,W,yes,yes,no,0
156,AZ,2015,45–59,male,W,no,yes,no,0
157,ID,2015,18–29,male,W,no,yes,no,0
158,UT,2015,18–29,male,W,yes,no,no,0
130,NC,2015,30–44,female,W,no,yes,no,0
159,MO,2015,30–44,male,W,no,no,yes,0
160,MI,2015,30–44,male,W,no,yes,no,0
161,MA,2015,30–44,male,W,no,no,yes,0
162,TX,2015,45–59,male,H,no,Unknown,no,0
163,NC,2015,18–29,female,B,yes,yes,no,0
165,TX,2015,30–44,male,H,no,no,no,0
166,AL,2015,30–44,male,B,no,yes,no,0
255,AL,2015,60+,male,B,yes,yes,no,0
167,NM,2015,30–44,male,W,no,yes,no,0
168,IN,2015,45–59,male,W,no,yes,no,0
170,FL,2015,45–59,male,W,no,yes,no,0
172,LA,2015,45–59,male,W,yes,yes,no,0
174,GA,2015,30–44,male,W,no,yes,no,0
175,GA,2015,30–44,male,W,no,yes,yes,0
176,AL,2015,Under 18,male,B,no,yes,no,0
266,PA,2015,30–44,male,W,no,yes,yes,0
371,NE,2015,30–44,male,W,no,no,no,0
177,WI,2015,30–44,male,W,yes,yes,no,0
178,OK,2015,18–29,male,B,no,Unknown,yes,0
179,NV,2015,30–44,male,W,yes,yes,no,0
180,IN,2015,30–44,male,W,no,no,no,0
181,FL,2015,30–44,male,H,no,yes,yes,0
182,CA,2015,18–29,male,H,no,yes,no,0
183,MS,2015,45–59,male,W,no,no,no,0
184,GA,2015,30–44,female,W,no,yes,yes,0
185,CA,2015,18–29,male,H,no,no,no,0
186,SC,2015,18–29,male,W,no,yes,no,0
187,MI,2015,Under 18,male,W,no,no,no,1
188,MO,2015,30–44,male,B,no,no,yes,0
189,AZ,2015,18–29,female,H,no,yes,no,0
190,MO,2015,18–29,male,B,no,yes,yes,0
191,NC,2015,30–44,male,B,yes,yes,yes,0
192,AZ,2015,30–44,female,W,no,yes,yes,0
194,CA,2015,30–44,male,B,yes,no,no,1
195,TX,2015,30–44,male,A,no,yes,no,0
268,MS,2015,45–59,male,W,no,yes,no,0
196,IL,2015,18–29,male,B,no,yes,yes,0
197,MD,2015,18–29,male,B,no,yes,no,0
198,AZ,2015,18–29,male,W,no,yes,no,0
199,FL,2015,18–29,male,W,no,no,no,0
249,CA,2015,18–29,male,A,no,yes,no,0
200,WI,2015,45–59,male,B,yes,yes,no,0
201,CA,2015,30–44,male,H,no,no,yes,0
202,NE,2015,30–44,male,W,no,yes,no,0
203,WI,2015,18–29,male,B,no,no,yes,0
269,CO,2015,30–44,male,B,no,no,yes,0
270,FL,2015,45–59,male,B,no,Unknown,no,0
271,AZ,2015,18–29,male,W,no,yes,no,0
204,CA,2015,30–44,female,B,yes,yes,no,1
272,OK,2015,30–44,male,H,no,yes,no,0
273,DE,2015,30–44,male,W,no,Unknown,yes,0
205,GA,2015,18–29,male,B,yes,no,no,0
274,NC,2015,45–59,male,W,no,yes,no,0
275,CO,2015,45–59,male,W,no,yes,no,0
276,FL,2015,30–44,male,B,no,yes,no,0
206,OH,2015,60+,male,B,no,yes,no,1
278,LA,2015,30–44,male,B,no,yes,no,0
