state,year,deaths,pop,rate_per_million,log_pop
AK,2015,4,738430,5.416898013352654,13.512281589731169
AK,2016,8,742575,10.773322560010774,13.517879154658825
AK,2017,8,740983,10.796469014808707,13.515732962044742
AK,2018,7,736624,9.50281283259845,13.509832864596445
AK,2019,7,733603,9.541945711781441,13.505723289338059
AK,2020,9,733017,12.278023565619897,13.504924172960013
AK,2021,7,734420,9.531330846109856,13.506836351033071
AK,2022,5,734442,6.8078895270150674,13.506866306195642
AK,2023,6,736510,8.146528899811273,13.509678092525164
AK,2024,8,740133,10.808868135862069,13.51458517876063
AL,2015,17,4854803,3.5016868861620134,15.395479082159278
AL,2016,24,4866824,4.9313474249325635,15.397952126255015
AL,2017,25,4877989,5.125062807644708,15.40024360273291
AL,2018,13,4891628,2.657601927211145,15.403035730379424
AL,2019,11,4907965,2.2412547766742428,15.406369953573169
AL,2020,16,5033094,3.1789591054726976,15.431545462317647
AL,2021,24,5049196,4.753231999708468,15.434739580655824
AL,2022,20,5076181,3.939969831650999,15.440069765179109
AL,2023,29,5117673,5.6666379426743365,15.448210401515311
AL,2024,21,5157699,4.071583083851927,15.456001107768733
AR,2015,5,2979732,1.6780032566687204,14.907343921551476
AR,2016,15,2991815,5.013678987504241,14.911390784614053
AR,2017,12,3003855,3.9948665964235954,14.915407021726477
AR,2018,20,3012161,6.639751328033262,14.918168319328615
AR,2019,21,3020985,6.951375130958942,14.921093495113185
AR,2020,11,3014546,3.648974008026416,14.918959796373874
AR,2021,13,3026870,4.294865653298622,14.92303964026959
AR,2022,16,3047704,5.249853660329219,14.929899078212022
AR,2023,13,3069463,4.235268514394863,14.937013185696568
AR,2024,17,3088354,5.504550320332449,14.943148820862149
AZ,2015,42,6832810,6.146812219277281,15.737246567141865
AZ,2016,49,6944767,7.055672278134025,15.753498984291735
AZ,2017,44,7048088,6.242827842104128,15.768266932331784
AZ,2018,61,7164228,8.514525221698696,15.784610867451955
AZ,2019,35,7291843,4.799883925092737,15.802266884104585
AZ,2020,45,7187135,6.261187524653426,15.787803180189567
AZ,2021,37,7274078,5.086555299516997,15.799827627595032
AZ,2022,52,7377566,7.0483950939917035,15.813954331879174
AZ,2023,48,7473027,6.42310003697297,15.826810695912725
AZ,2024,48,7582384,6.3304628201367805,15.841338220043413
CA,2015,190,38904296,4.8837794160315875,17.476615239508952
CA,2016,139,39149186,3.550520820535068,17.482890188358624
CA,2017,160,39337785,4.067336277322172,17.48769606532379
CA,2018,116,39437463,2.941365675576038,17.490226760071923
CA,2019,135,39437610,3.423128328516865,17.49023048748527
CA,2020,147,39521958,3.7194513490450043,17.492366974151064
CA,2021,141,39142565,3.6022166661791326,17.48272105176553
CA,2022,129,39142414,3.2956577486508625,17.482717194065064
CA,2023,137,39198693,3.495014489386164,17.484153962368104
CA,2024,111,39431263,2.815025225035272,17.49006953678895
CO,2015,29,5454328,5.316878632894832,15.51191997992664
CO,2016,31,5543844,5.591787936312782,15.528198680927842
CO,2017,31,5617421,5.518546678271043,15.541383219747361
CO,2018,46,5697155,8.07420545868947,15.55547748539451
CO,2019,36,5758486,6.251643227056556,15.566185150899466
CO,2020,42,5787129,7.257484669859615,15.571146871650193
CO,2021,41,5814036,7.051899919436344,15.575785552032253
CO,2022,40,5850935,6.836514163975501,15.582112035496564
CO,2023,41,5901339,6.947575795933771,15.590689832279427
CO,2024,38,5957493,6.378521972245708,15.600160312964835
CT,2015,2,3588561,0.5573264603834238,15.093261844453782
CT,2016,3,3579830,0.838028621470852,15.090825871215866
CT,2017,5,3575324,1.3984746557235093,15.089566359374281
CT,2018,1,3574561,0.2797546328066579,15.089352929367253
CT,2019,4,3566022,1.121698071408421,15.086961246763646
CT,2020,5,3579918,1.3966800356879683,15.090850453086626
CT,2021,2,3606607,0.5545378246091132,15.098277999139578
CT,2022,1,3617925,0.27640152850045263,15.101411215037606
CT,2023,6,3643023,1.6469838373241126,15.108324389448674
CT,2024,3,3675069,0.8163112039529054,15.117082465963021
DC,2015,4,677014,5.9082973173376025,13.425447231148837
DC,2016,5,687576,7.271923394650192,13.44092764786771
DC,2017,2,697079,2.8691152652712244,13.454654026217975
